nflLink,season,week,weekNumber,date,awayTeam,hometeam,nflDotComId
http://www.nfl.com/gamecenter/2002090500/2002/REG1/49ers@giants,2002,REG1,1,09/05/2002,49ers,giants,2002090500
http://www.nfl.com/gamecenter/2002090800/2002/REG1/cardinals@redskins,2002,REG1,1,09/08/2002,cardinals,redskins,2002090800
http://www.nfl.com/gamecenter/2002090812/2002/REG1/vikings@bears,2002,REG1,1,09/08/2002,vikings,bears,2002090812
http://www.nfl.com/gamecenter/2002090810/2002/REG1/chiefs@browns,2002,REG1,1,09/08/2002,chiefs,browns,2002090810
http://www.nfl.com/gamecenter/2002090808/2002/REG1/colts@jaguars,2002,REG1,1,09/08/2002,colts,jaguars,2002090808
http://www.nfl.com/gamecenter/2002090806/2002/REG1/lions@dolphins,2002,REG1,1,09/08/2002,lions,dolphins,2002090806
http://www.nfl.com/gamecenter/2002090801/2002/REG1/jets@bills,2002,REG1,1,09/08/2002,jets,bills,2002090801
http://www.nfl.com/gamecenter/2002090802/2002/REG1/falcons@packers,2002,REG1,1,09/08/2002,falcons,packers,2002090802
http://www.nfl.com/gamecenter/2002090803/2002/REG1/eagles@titans,2002,REG1,1,09/08/2002,eagles,titans,2002090803
http://www.nfl.com/gamecenter/2002090804/2002/REG1/ravens@panthers,2002,REG1,1,09/08/2002,ravens,panthers,2002090804
http://www.nfl.com/gamecenter/2002090805/2002/REG1/chargers@bengals,2002,REG1,1,09/08/2002,chargers,bengals,2002090805
http://www.nfl.com/gamecenter/2002090811/2002/REG1/rams@broncos,2002,REG1,1,09/08/2002,rams,broncos,2002090811
http://www.nfl.com/gamecenter/2002090807/2002/REG1/saints@buccaneers,2002,REG1,1,09/08/2002,saints,buccaneers,2002090807
http://www.nfl.com/gamecenter/2002090809/2002/REG1/seahawks@raiders,2002,REG1,1,09/08/2002,seahawks,raiders,2002090809
http://www.nfl.com/gamecenter/2002090813/2002/REG1/cowboys@texans,2002,REG1,1,09/08/2002,cowboys,texans,2002090813
http://www.nfl.com/gamecenter/2002090900/2002/REG1/steelers@patriots,2002,REG1,1,09/09/2002,steelers,patriots,2002090900
http://www.nfl.com/gamecenter/2002091501/2002/REG2/buccaneers@ravens,2002,REG2,2,09/15/2002,buccaneers,ravens,2002091501
http://www.nfl.com/gamecenter/2002091502/2002/REG2/bengals@browns,2002,REG2,2,09/15/2002,bengals,browns,2002091502
http://www.nfl.com/gamecenter/2002091503/2002/REG2/titans@cowboys,2002,REG2,2,09/15/2002,titans,cowboys,2002091503
